,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,Family income source,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day,Class Label,GPA,Attendance Parcentage
247,13-15 years,male,Bangla,Private sector,Business,Two Children,primary,None,2-3 km,Walk,Electricity,Toilet,Once,High,Casual Wage,40,67,37,51,24,29,68,500000,No,above 3 hours,No,2.26,59.9
248,13-15 years,male,English,Business,Home maker,None,secondary,None,0.5-1 km,Walk,Paraffin,Toilet,Once,Low,Own business,40,83,40,48,26,63,66,180000,Yes,3 hours,No,2.61,67.5
249,15-18 years,male,Bangla,Private sector,Home maker,Four or more,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Casual Wage,68,20,77,38,22,33,39,220000,Yes,2 hours,No,2.12,51.2
250,10-13 years,male,Bangla,Business,Home maker,None,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,Low,Own business,58,43,80,70,54,30,52,100000,No,above 3 hours,No,2.76,55.2
251,13-15 years,female,Bangla,Worker,Public sector,None,Honors/ Equivalent ,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,None,High,Casual Wage,22,46,64,27,31,33,62,200000,No,1 hours,No,2.04,68.7
252,10-13 years,female,Bangla,Agriculture,Public sector,None,Masters/ Equivalent and above,secondary,6-7 km,Private car,Electricity,Teaching facilities,Once,Mediam,Farming,47,84,45,40,77,83,40,250000,Yes,3 hours,No,2.97,61
253,10-13 years,male,Bangla,Business,Agriculture,Two Children,primary,secondary,1-2 km,Walk,Paraffin,Teaching facilities,Once,High,Own business,23,38,85,40,82,42,79,180000,Yes,0 to 30 minutes,No,2.78,65.1
254,13-15 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,primary,4-5 km,Walk,Electricity,Toilet,None,Mediam,Own business,44,80,88,21,83,62,56,100000,No,0 to 30 minutes,Yes,3.1,85.4
255,15-18 years,male,Bangla,Worker,Home maker,None,None,secondary,6-7 km,School Bus/Bus,Electricity,Toilet,Once,High,Casual Wage,83,85,84,50,37,22,67,850000,No,2 hours,No,3.06,68.4
256,10-13 years,female,Bangla,Worker,Home maker,None,None,None,0.5-1 km,Walk,Electricity,Toilet,Once,High,Casual Wage,57,34,68,38,51,21,75,150000,No,above 3 hours,Yes,2.46,68.6
257,10-13 years,female,Bangla,Business,Agriculture,None,None,secondary,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Own business,54,20,21,87,69,21,46,180000,No,3 hours,Yes,2.27,72.6
258,13-15 years,male,Bangla,Private sector,Home maker,Two Children,primary,secondary,0.5-1 km,School Bus/Bus,Paraffin,Toilet,None,Mediam,Casual Wage,63,53,81,51,25,79,89,250000,Yes,2 hours,No,3.15,74
259,15-18 years,female,Bangla,Business,Private sector,None,secondary,Honors/Equivalent ,0-0.5 km,Walk,Electricity,Teaching facilities,None,Mediam,Own business,50,46,35,49,23,45,29,700000,No,2 hours,Yes,1.98,42.4
260,13-15 years,male,Bangla,Private sector,Home maker,Two Children,primary,Honors/Equivalent ,4-5 km,Rickshaw,Other,Teaching facilities,Once,High,Casual Wage,91,54,51,36,63,62,26,850000,Yes,3 hours,No,2.74,61.8
261,above 18 years,male,Bangla,Private sector,Business,Two Children,primary,secondary,1-2 km,Bicycle/motorbike,Other,Toilet,None,Mediam,Casual Wage,67,73,20,41,82,37,23,900000,Yes,3 hours,No,2.45,61.8
262,10-13 years,female,Bangla,Private sector,Home maker,None,primary,secondary,1-2 km,Rickshaw,Paraffin,Teaching facilities,None,Mediam,Casual Wage,88,61,32,79,33,67,44,150000,No,3 hours,No,2.89,62.8
263,13-15 years,female,Bangla,Freelancer ,Home maker,None,primary,secondary,0.5-1 km,Walk,Electricity,Water,None,Mediam,Own business,67,51,43,37,38,37,66,750000,No,0 to 30 minutes,Yes,2.42,52.6
264,10-13 years,male,Bangla,Worker,Home maker,Two Children,secondary,None,>7 km,Rickshaw,Other,Water,None,Mediam,Casual Wage,42,45,23,28,54,49,57,220000,Yes,1 hours,No,2.13,53.6
265,13-15 years,female,Bangla,Business,Home maker,Three Children,secondary,primary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Own business,39,45,87,69,38,59,89,700000,Yes,3 hours,No,3.04,71.9
266,13-15 years,female,Bangla,Public sector,Agriculture,Four or more,Masters/ Equivalent and above,secondary,2-3 km,School Bus/Bus,Electricity,Water,None,Mediam,Formal Wage,42,40,64,55,47,88,22,350000,No,1 hours,No,2.56,61.8
267,15-18 years,female,Bangla,Immigrant,Public sector,None,primary,secondary,4-5 km,Private car,Electricity,Toilet,Once,Mediam,Remittance,48,66,60,30,36,50,91,500000,Yes,0 to 30 minutes,Yes,2.72,52.9
268,15-18 years,female,Bangla,Worker,Home maker,Three Children,secondary,Honors/Equivalent ,0.5-1 km,Rickshaw,Electricity,Toilet,None,Low,Casual Wage,80,23,63,36,73,27,89,550000,Yes,3 hours,No,2.79,52.1
269,13-15 years,female,Bangla,Public sector,Business,Three Children,primary,secondary,1-2 km,Walk,Electricity,Toilet,None,Low,Formal Wage,65,28,77,70,65,56,78,180000,Yes,above 3 hours,No,3.14,71
270,10-13 years,male,Bangla,Worker,Home maker,Two Children,primary,secondary,2-3 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,Low,Casual Wage,62,83,47,89,88,33,48,220000,No,3 hours,No,3.21,73.3
271,10-13 years,female,Bangla,Private sector,Public sector,None,secondary,primary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Casual Wage,81,91,50,79,65,64,91,180000,Yes,above 3 hours,Yes,3.72,85
272,10-13 years,female,Bangla,Immigrant,Agriculture,Two Children,primary,primary,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,Low,Remittance,47,75,64,65,72,42,68,200000,Yes,above 3 hours,Yes,3.09,70.6
273,15-18 years,male,Bangla,Private sector,Public sector,Three Children,primary,Honors/Equivalent ,2-3 km,School Bus/Bus,Other,Teaching facilities,Once,High,Casual Wage,39,73,28,32,29,48,36,300000,Yes,1 hours,No,2.04,51.2
274,10-13 years,male,Bangla,Worker,Home maker,Three Children,secondary,primary,0.5-1 km,Walk,Electricity,Toilet,None,Mediam,Casual Wage,35,41,26,77,50,54,26,450000,Yes,3 hours,No,2.21,65
275,13-15 years,female,Bangla,Agriculture,Worker,Two Children,Masters/ Equivalent and above,primary,0-0.5 km,Walk,Other,Teaching facilities,None,High,Farming,41,57,68,76,20,77,46,400000,No,0 to 30 minutes,Yes,2.75,70.3
276,15-18 years,female,Bangla,Agriculture,Home maker,Two Children,primary,secondary,2-3 km,Walk,Electricity,Teaching facilities,Once,High,Farming,84,60,64,50,28,69,80,150000,Yes,2 hours,Yes,3.11,82.7
277,13-15 years,female,Bangla,Immigrant,Home maker,Three Children,secondary,primary,4-5 km,Walk,Paraffin,Water,None,Mediam,Remittance,34,29,83,69,77,42,49,700000,No,2 hours,No,2.74,61.8
278,10-13 years,female,Bangla,Immigrant,Agriculture,None,secondary,secondary,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,Mediam,Remittance,55,88,65,87,81,61,69,150000,No,1 hours,Yes,3.61,90.6
279,10-13 years,female,Bangla,Private sector,Agriculture,Two Children,Honors/ Equivalent ,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Casual Wage,92,82,64,55,20,67,33,200000,Yes,3 hours,No,2.95,66.2
280,10-13 years,male,Bangla,Business,Freelancer,Two Children,secondary,Honors/Equivalent ,1-2 km,Bicycle/motorbike,Other,Teaching facilities,Once,Low,Own business,44,76,75,28,30,47,82,450000,No,1 hours,No,2.73,59
281,13-15 years,male,Bangla,Agriculture,Public sector,Three Children,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,Farming,92,83,44,70,87,36,90,650000,No,0 to 30 minutes,Yes,3.59,92.8
282,10-13 years,male,Bangla,Public sector,Home maker,Three Children,secondary,secondary,0-0.5 km,Walk,Other,Toilet,Once,Low,Formal Wage,26,52,23,66,26,39,30,350000,Yes,2 hours,Yes,1.87,47.5
283,10-13 years,female,Bangla,Worker,Home maker,None,primary,None,0.5-1 km,School Bus/Bus,Electricity,Water,Once,Mediam,Casual Wage,40,71,62,58,66,50,75,350000,Yes,0 to 30 minutes,No,3.01,65.5
284,10-13 years,female,Bangla,Immigrant,Worker,Three Children,secondary,secondary,4-5 km,Walk,Electricity,Toilet,Once,High,Remittance,36,32,72,90,35,50,73,300000,No,2 hours,Yes,2.77,69.9
285,15-18 years,female,Bangla,Worker,Home maker,Four or more,primary,secondary,6-7 km,Bicycle/motorbike,Electricity,Toilet,None,Low,Casual Wage,74,69,81,82,65,50,36,200000,No,0 to 30 minutes,Yes,3.26,69
286,15-18 years,female,Bangla,Agriculture,Home maker,Four or more,Honors/ Equivalent ,secondary,1-2 km,Walk,Other,Teaching facilities,None,Mediam,Farming,29,38,33,77,90,28,34,800000,Yes,2 hours,No,2.35,70.6
287,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,Masters/ Equivalent and above,Honors/Equivalent ,0-0.5 km,Walk,Electricity,Water,None,High,Remittance,20,73,46,47,24,50,91,250000,No,2 hours,No,2.51,68.7
288,13-15 years,female,Bangla,Business,Home maker,Three Children,Honors/ Equivalent ,secondary,>7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Own business,45,29,74,30,66,62,47,650000,Yes,above 3 hours,No,2.52,67.4
289,13-15 years,male,Bangla,Worker,Home maker,None,Masters/ Equivalent and above,primary,6-7 km,Private car,Electricity,Toilet,None,High,Casual Wage,71,24,51,20,69,64,55,200000,No,1 hours,No,2.53,59.7
290,10-13 years,male,Bangla,Agriculture,Freelancer,None,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,Farming,42,34,62,71,91,84,32,550000,No,3 hours,No,2.97,50.7
291,13-15 years,male,English,Private sector,Home maker,None,Honors/ Equivalent ,secondary,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Casual Wage,28,84,21,40,35,92,90,550000,Yes,3 hours,No,2.79,65.5
292,10-13 years,male,Bangla,Worker,Home maker,Two Children,secondary,primary,2-3 km,Bicycle/motorbike,Other,Teaching facilities,Once,Mediam,Casual Wage,67,62,77,65,58,55,66,450000,No,2 hours,No,3.21,81.9
293,15-18 years,male,Bangla,Private sector,Home maker,Four or more,primary,secondary,0.5-1 km,Rickshaw,Electricity,Teaching facilities,None,Low,Casual Wage,67,66,52,20,68,60,54,350000,Yes,above 3 hours,No,2.76,61.2
294,10-13 years,female,Bangla,Private sector,Home maker,None,primary,secondary,2-3 km,Walk,Electricity,Teaching facilities,None,Low,Casual Wage,23,43,70,86,32,27,54,300000,Yes,0 to 30 minutes,No,2.39,60.3
295,13-15 years,female,Bangla,Immigrant,Agriculture,Four or more,primary,Honors/Equivalent ,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Remittance,55,47,24,62,68,79,59,800000,No,above 3 hours,Yes,2.81,64.8
296,10-13 years,female,Bangla,Public sector,Worker,Two Children,secondary,secondary,6-7 km,Private car,Electricity,Toilet,None,Mediam,Formal Wage,64,79,29,47,78,89,34,300000,No,0 to 30 minutes,Yes,3,71.2
297,13-15 years,female,Bangla,Freelancer ,Home maker,Three Children,secondary,None,4-5 km,School Bus/Bus,Electricity,Water,Once,High,Own business,90,85,87,56,22,30,40,900000,Yes,2 hours,No,2.93,63.5
298,13-15 years,female,Bangla,Private sector,Worker,Two Children,primary,secondary,4-5 km,Rickshaw,Paraffin,Teaching facilities,None,High,Casual Wage,73,42,72,25,28,46,48,150000,No,1 hours,Yes,2.39,58
299,10-13 years,female,Bangla,Business,Home maker,Four or more,secondary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Low,Own business,86,71,53,72,40,72,46,100000,No,0 to 30 minutes,Yes,3.14,75.9
300,15-18 years,male,Bangla,Agriculture,Private sector,None,primary,Honors/Equivalent ,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,Farming,60,28,64,22,55,69,25,500000,Yes,0 to 30 minutes,No,2.31,51.4
301,10-13 years,male,English,Public sector,Home maker,None,secondary,secondary,4-5 km,Bicycle/motorbike,Other,Toilet,None,High,Formal Wage,73,49,23,82,52,55,56,550000,Yes,0 to 30 minutes,No,2.79,70.1
302,13-15 years,female,Bangla,Immigrant,Home maker,Three Children,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,Remittance,67,80,83,24,59,68,76,220000,No,2 hours,No,3.26,75.6
303,10-13 years,male,Bangla,Worker,Home maker,None,primary,secondary,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Casual Wage,92,26,91,90,37,88,43,220000,Yes,above 3 hours,No,3.34,78.6
304,13-15 years,female,Bangla,Freelancer ,Home maker,Three Children,primary,secondary,6-7 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,Own business,51,40,46,35,26,79,90,550000,No,2 hours,No,2.62,64
305,13-15 years,female,Bangla,Freelancer ,Home maker,None,Masters/ Equivalent and above,Masters/Equivalent and above,1-2 km,Private car,Electricity,Teaching facilities,None,High,Own business,35,65,26,69,76,49,28,800000,Yes,1 hours,No,2.49,72.1
306,10-13 years,female,English,Public sector,Worker,None,secondary,Honors/Equivalent ,6-7 km,Walk,Electricity,Toilet,None,Low,Formal Wage,30,58,25,75,64,78,38,800000,No,above 3 hours,No,2.63,64.4
307,15-18 years,female,Bangla,Worker,Freelancer,Three Children,secondary,None,0-0.5 km,Walk,Electricity,Teaching facilities,Once,Low,Casual Wage,59,22,53,91,25,92,88,350000,No,3 hours,No,3.07,87.8
308,10-13 years,female,Bangla,Worker,Home maker,Three Children,primary,secondary,4-5 km,Bicycle/motorbike,Paraffin,Teaching facilities,Once,Mediam,Casual Wage,29,70,24,61,53,76,91,900000,Yes,0 to 30 minutes,No,2.89,54.9
309,13-15 years,male,Bangla,Private sector,Home maker,Three Children,Honors/ Equivalent ,secondary,2-3 km,Walk,Other,Teaching facilities,None,Low,Casual Wage,43,91,20,28,27,61,83,200000,Yes,2 hours,No,2.52,63.6
310,10-13 years,female,English,Immigrant,Public sector,None,primary,Masters/Equivalent and above,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Remittance,26,50,28,86,63,65,58,750000,No,0 to 30 minutes,Yes,2.69,72.3
311,10-13 years,female,Bangla,Private sector,Home maker,None,primary,secondary,>7 km,Walk,Paraffin,Teaching facilities,None,High,Casual Wage,34,49,30,51,89,74,41,150000,No,above 3 hours,Yes,2.63,72.2
312,15-18 years,male,Bangla,Worker,Home maker,None,primary,Honors/Equivalent ,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,Casual Wage,50,55,30,77,83,88,47,350000,Yes,3 hours,No,3.07,75.4
313,10-13 years,female,Bangla,Freelancer ,Home maker,Three Children,secondary,primary,0-0.5 km,Rickshaw,Electricity,Toilet,Once,Mediam,Own business,62,25,39,64,59,67,41,500000,Yes,0 to 30 minutes,No,2.55,54.3
314,10-13 years,male,Bangla,Unemployed,Home maker,Three Children,secondary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Water,None,Mediam,Pansion,37,55,56,26,82,28,33,900000,No,1 hours,No,2.26,64.5
315,13-15 years,female,Bangla,Agriculture,Home maker,Two Children,Masters/ Equivalent and above,Honors/Equivalent ,0-0.5 km,Bicycle/motorbike,Electricity,Electricity,Once,High,Farming,23,88,81,78,92,42,82,180000,No,2 hours,Yes,3.47,66.7
316,10-13 years,female,Bangla,Immigrant,Home maker,Four or more,secondary,secondary,>7 km,School Bus/Bus,Electricity,Water,None,High,Remittance,38,92,85,22,22,90,42,550000,No,above 3 hours,No,2.79,60.1
317,10-13 years,female,Bangla,Private sector,Home maker,Two Children,None,secondary,>7 km,Rickshaw,Electricity,Water,None,Low,Casual Wage,32,87,86,42,32,43,29,250000,Yes,1 hours,No,2.51,52.9
318,13-15 years,female,Bangla,Immigrant,Worker,Four or more,secondary,Honors/Equivalent ,2-3 km,Walk,Electricity,Toilet,None,High,Remittance,29,43,39,91,77,88,24,400000,No,3 hours,Yes,2.79,55.2
319,13-15 years,female,Bangla,Worker,Home maker,Two Children,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Casual Wage,29,38,89,88,27,38,46,800000,No,2 hours,No,2.54,66.8
320,15-18 years,female,Bangla,Immigrant,Home maker,None,primary,Honors/Equivalent ,1-2 km,Walk,Electricity,Toilet,Once,Low,Remittance,75,29,54,91,78,62,29,700000,No,2 hours,No,2.99,67.8
321,10-13 years,female,English,Private sector,Worker,None,secondary,None,>7 km,Private car,Electricity,Toilet,None,Mediam,Casual Wage,82,64,27,27,27,58,33,300000,Yes,1 hours,No,2.27,55.6
322,15-18 years,others,Bangla,Private sector,Home maker,Three Children,primary,secondary,0.5-1 km,Private car,Electricity,Teaching facilities,Once,Mediam,Casual Wage,74,77,57,42,90,49,21,150000,Yes,3 hours,No,2.93,62.1
323,13-15 years,male,Bangla,Public sector,Business,Two Children,primary,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Formal Wage,62,58,71,30,40,41,58,700000,No,above 3 hours,No,2.57,59.2
324,15-18 years,male,Bangla,Agriculture,Private sector,Two Children,secondary,None,2-3 km,Private car,Other,Teaching facilities,None,Mediam,Farming,67,31,91,46,74,88,79,150000,Yes,0 to 30 minutes,No,3.4,76.4
325,13-15 years,male,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,secondary,1-2 km,School Bus/Bus,Other,Water,None,High,Casual Wage,87,68,24,62,35,76,76,850000,No,2 hours,No,3.06,71.9
326,15-18 years,female,Bangla,Worker,Worker,Three Children,primary,secondary,1-2 km,Bicycle/motorbike,Electricity,Water,None,High,Casual Wage,41,82,72,42,72,66,67,150000,Yes,3 hours,Yes,3.16,83.1
327,10-13 years,female,Bangla,Business,Home maker,Two Children,secondary,primary,6-7 km,School Bus/Bus,Paraffin,Water,None,High,Own business,52,70,28,31,38,32,47,500000,No,1 hours,No,2.13,60.5
328,15-18 years,female,Bangla,Immigrant,Agriculture,Three Children,primary,secondary,6-7 km,Walk,Electricity,Toilet,None,Low,Remittance,86,62,32,82,21,21,52,650000,No,0 to 30 minutes,Yes,2.54,74
329,13-15 years,male,Bangla,Private sector,Home maker,Four or more,secondary,None,>7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Casual Wage,30,87,61,42,81,53,24,900000,Yes,1 hours,No,2.7,52.4
330,10-13 years,female,Bangla,Business,Immigrant,Three Children,secondary,None,1-2 km,School Bus/Bus,Other,Toilet,None,Low,Own business,43,63,71,68,38,49,30,750000,Yes,0 to 30 minutes,No,2.59,72.7
331,10-13 years,male,Bangla,Public sector,Business,None,Masters/ Equivalent and above,secondary,2-3 km,Rickshaw,Electricity,Teaching facilities,None,Low,Formal Wage,69,45,24,41,40,61,52,750000,No,above 3 hours,No,2.37,52.2
332,13-15 years,female,Bangla,Freelancer ,Home maker,None,Masters/ Equivalent and above,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,High,Own business,61,77,22,64,54,55,29,700000,No,above 3 hours,No,2.59,54.6
333,10-13 years,female,Bangla,Freelancer ,Worker,None,primary,primary,6-7 km,Rickshaw,Electricity,Toilet,None,Low,Own business,63,82,34,24,54,65,87,350000,No,0 to 30 minutes,Yes,2.92,52.3
334,10-13 years,male,Bangla,Unemployed,Home maker,Two Children,primary,None,0-0.5 km,School Bus/Bus,Other,Toilet,None,High,Pansion,23,58,85,32,53,56,73,200000,No,above 3 hours,No,2.71,61
335,15-18 years,male,Bangla,Agriculture,Home maker,Two Children,primary,secondary,4-5 km,Private car,Electricity,Teaching facilities,None,High,Farming,23,62,20,60,75,69,78,150000,Yes,1 hours,No,2.76,65.1
336,10-13 years,male,Bangla,Private sector,Home maker,Four or more,primary,None,0.5-1 km,Walk,Paraffin,Toilet,None,Low,Casual Wage,54,29,91,71,52,69,81,200000,Yes,3 hours,No,3.19,86.4
337,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,primary,Honors/Equivalent ,1-2 km,Bicycle/motorbike,Electricity,Toilet,None,Low,Remittance,71,25,50,66,74,27,59,650000,Yes,3 hours,No,2.66,51.8
338,13-15 years,female,Bangla,Business,Home maker,Four or more,secondary,Honors/Equivalent ,6-7 km,Private car,Other,Teaching facilities,Once,Low,Own business,90,47,50,69,24,43,61,500000,Yes,above 3 hours,No,2.74,73.6
339,13-15 years,male,Bangla,Freelancer ,Home maker,None,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Water,None,High,Own business,59,49,65,85,79,61,42,300000,Yes,2 hours,No,3.14,79.7
340,15-18 years,male,Bangla,Public sector,Home maker,Four or more,primary,Honors/Equivalent ,0.5-1 km,Private car,Electricity,Teaching facilities,None,Mediam,Formal Wage,85,53,74,76,36,30,27,600000,No,above 3 hours,No,2.72,54.1
341,13-15 years,male,Bangla,Business,Worker,None,Masters/ Equivalent and above,secondary,6-7 km,Bicycle/motorbike,Electricity,Toilet,None,Low,Own business,35,52,64,30,44,73,21,200000,No,3 hours,No,2.28,67.4
342,13-15 years,female,Bangla,Worker,Business,Four or more,secondary,secondary,4-5 km,Walk,Other,Teaching facilities,None,High,Casual Wage,25,83,70,33,46,89,43,550000,Yes,3 hours,No,2.78,61.7
343,15-18 years,male,Bangla,Public sector,Home maker,Two Children,Honors/ Equivalent ,secondary,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Formal Wage,89,27,40,29,89,78,42,600000,No,0 to 30 minutes,Yes,2.81,63.3
344,10-13 years,female,Bangla,Public sector,Business,Three Children,secondary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,High,Formal Wage,40,81,31,59,27,67,46,300000,Yes,2 hours,No,2.51,72.4
345,10-13 years,female,Bangla,Private sector,Freelancer,Four or more,secondary,primary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Casual Wage,59,62,28,54,68,73,89,300000,No,0 to 30 minutes,Yes,3.09,77.1
346,13-15 years,female,Bangla,Private sector,Private sector,Two Children,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Electricity,Toilet,Once,High,Casual Wage,61,36,87,86,63,66,81,300000,No,above 3 hours,No,3.43,74.6
347,15-18 years,female,Bangla,Worker,Home maker,Three Children,primary,secondary,2-3 km,Private car,Paraffin,Teaching facilities,Once,Mediam,Casual Wage,49,66,49,21,84,81,83,450000,Yes,1 hours,No,3.09,91.9
348,15-18 years,female,Bangla,Agriculture,Home maker,None,secondary,None,1-2 km,Rickshaw,Electricity,Teaching facilities,None,Low,Farming,50,46,78,74,82,23,46,500000,No,2 hours,No,2.85,72.7
349,13-15 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,secondary,4-5 km,Walk,Electricity,Toilet,Once,High,Own business,29,20,77,46,77,26,75,250000,No,2 hours,No,2.5,53
350,13-15 years,male,Bangla,Private sector,Worker,None,None,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Casual Wage,89,48,47,23,49,44,45,550000,No,1 hours,No,2.46,64.4
351,10-13 years,male,Bangla,Agriculture,Immigrant,Two Children,secondary,secondary,0-0.5 km,Private car,Electricity,Teaching facilities,Once,Mediam,Farming,42,83,21,32,44,45,78,150000,Yes,2 hours,No,2.46,52.9
352,13-15 years,female,Bangla,Public sector,Home maker,Three Children,Masters/ Equivalent and above,secondary,0-0.5 km,School Bus/Bus,Other,Toilet,None,Mediam,Formal Wage,46,55,78,80,72,57,52,900000,No,1 hours,No,3.14,91
353,10-13 years,female,Bangla,Public sector,Agriculture,Two Children,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Formal Wage,77,24,92,20,62,89,39,300000,No,3 hours,No,2.88,51.3
354,13-15 years,female,Bangla,Private sector,Private sector,Two Children,primary,None,6-7 km,Walk,Electricity,Toilet,None,High,Casual Wage,34,34,25,64,91,47,27,700000,Yes,2 hours,No,2.3,60.9
355,10-13 years,female,Bangla,Unemployed,Home maker,Three Children,None,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Pansion,35,85,33,79,70,54,55,500000,No,2 hours,No,2.94,51.8
356,15-18 years,male,Bangla,Worker,Home maker,Two Children,primary,Honors/Equivalent ,0-0.5 km,Walk,Electricity,Water,None,Low,Casual Wage,62,24,61,48,62,36,71,250000,Yes,1 hours,No,2.6,50.7
357,10-13 years,male,Bangla,Agriculture,Freelancer,Four or more,Honors/ Equivalent ,secondary,0.5-1 km,School Bus/Bus,Other,Toilet,None,High,Farming,92,35,40,69,36,38,29,450000,No,2 hours,No,2.42,73.3
358,13-15 years,female,Bangla,Worker,Home maker,None,primary,None,>7 km,School Bus/Bus,Paraffin,Teaching facilities,None,High,Casual Wage,81,81,57,43,90,25,69,350000,No,1 hours,No,3.19,88.4
359,10-13 years,male,Bangla,Business,Home maker,Three Children,Masters/ Equivalent and above,secondary,>7 km,School Bus/Bus,Other,Teaching facilities,None,High,Own business,83,73,38,50,62,68,31,750000,No,3 hours,No,2.89,61.6
360,10-13 years,male,Bangla,Private sector,Business,Two Children,secondary,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,Casual Wage,92,24,24,67,92,35,45,450000,No,1 hours,No,2.71,57.5
361,10-13 years,female,Bangla,Worker,Home maker,Two Children,primary,secondary,1-2 km,Walk,Paraffin,Teaching facilities,None,Low,Casual Wage,47,67,32,83,83,58,44,300000,No,2 hours,No,2.96,55.3
362,10-13 years,female,Bangla,Business,Freelancer,None,primary,primary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Low,Own business,41,79,51,27,82,44,59,150000,Yes,2 hours,No,2.74,55.1
363,13-15 years,male,Bangla,Freelancer ,Worker,None,secondary,primary,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,Own business,40,44,46,80,42,56,55,250000,No,1 hours,No,2.59,65.4
364,15-18 years,male,Bangla,Worker,Home maker,Three Children,secondary,primary,2-3 km,School Bus/Bus,Electricity,Toilet,Once,Low,Casual Wage,60,27,35,91,50,60,92,400000,Yes,0 to 30 minutes,No,2.96,62.7
365,13-15 years,female,Bangla,Business,Home maker,None,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Toilet,Once,Mediam,Own business,88,30,48,46,48,61,52,250000,Yes,3 hours,No,2.66,74.7
366,10-13 years,male,Bangla,Private sector,Business,Two Children,secondary,primary,1-2 km,Bicycle/motorbike,Other,Teaching facilities,Once,Low,Casual Wage,23,44,27,65,46,33,83,900000,No,3 hours,No,2.29,57.6
367,10-13 years,male,English,Worker,Home maker,Four or more,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,Mediam,Casual Wage,89,58,68,88,23,42,67,200000,No,above 3 hours,No,3.11,91.3
368,13-15 years,male,Bangla,Public sector,Freelancer,None,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Other,Teaching facilities,Once,Mediam,Formal Wage,73,36,83,32,29,89,44,500000,No,0 to 30 minutes,Yes,2.76,62.6
369,10-13 years,female,Bangla,Unemployed,Home maker,Two Children,Masters/ Equivalent and above,secondary,2-3 km,Bicycle/motorbike,Paraffin,Water,Once,Mediam,Pansion,62,61,77,27,49,90,41,500000,No,1 hours,No,2.91,67.9
370,13-15 years,male,Bangla,Public sector,Freelancer,Two Children,secondary,None,6-7 km,Walk,Electricity,Water,None,High,Formal Wage,34,20,33,84,73,37,49,250000,Yes,0 to 30 minutes,No,2.36,51.4
